plant_sp,interaction_type,probability,abundance,cover
Arisarum vulgare,decomposition,0.4854097923306512,2,40.0
Arisarum vulgare,fungal pathogenicity,0.44814132587959987,2,40.0
Arisarum vulgare,nutrient uptake,1.0,2,40.0
Asparagus horridus,decomposition,0.8952185356005213,32,1260.0
Asparagus horridus,fungal pathogenicity,0.2248855107016512,32,1260.0
Asparagus horridus,nutrient uptake,0.14854820345280118,32,1260.0
Chenopodium murale,decomposition,0.5899414090462044,1,1.0
Chenopodium murale,fungal pathogenicity,0.6120887096691681,1,1.0
Chenopodium murale,nutrient uptake,0.0016420360000000134,1,1.0
Chenopodium murale,pollination,0.034482758999999974,1,1.0
Diplotaxis ibicensis,decomposition,0.8467650287669797,1,1.0
Diplotaxis ibicensis,fungal pathogenicity,0.5261179722918092,1,1.0
Diplotaxis ibicensis,herbivory,0.2799999999999999,1,1.0
Diplotaxis ibicensis,nutrient uptake,0.016326211317260197,1,1.0
Diplotaxis ibicensis,pollination,0.32654598916531674,1,1.0
Ephedra fragilis,decomposition,0.9243758848592661,25,1260.0
Ephedra fragilis,fungal pathogenicity,0.13094685354439073,25,1260.0
Ephedra fragilis,herbivory,0.09999999999999998,25,1260.0
Ephedra fragilis,nutrient uptake,0.27789739253730994,25,1260.0
Ephedra fragilis,pollination,0.09992209708770339,25,1260.0
Euphorbia dendroides,decomposition,0.7830049390524181,64,6320.0
Euphorbia dendroides,fungal pathogenicity,0.18068875501222093,64,6320.0
Euphorbia dendroides,herbivory,0.714232,64,6320.0
Euphorbia dendroides,nutrient uptake,0.9200212432567153,64,6320.0
Euphorbia dendroides,pollination,0.34874248321955803,64,6320.0
Euphorbia dendroides,seed dispersal,0.08166666634999997,64,6320.0
Fagonia cretica,decomposition,0.1827276018954601,1,40.0
Fagonia cretica,fungal pathogenicity,1.0,1,40.0
Fagonia cretica,nutrient uptake,0.02278986336659994,1,40.0
Fagonia cretica,pollination,0.16199643500232574,1,40.0
Fagonia cretica,seed dispersal,0.050000000000000044,1,40.0
Geranium molle,decomposition,0.2639136239083101,5,40.0
Geranium molle,fungal pathogenicity,0.3195136343446213,5,40.0
Geranium molle,nutrient uptake,0.22925284689007108,5,40.0
Geranium molle,pollination,1.0,5,40.0
Geranium molle,seed dispersal,0.01666666699999997,5,40.0
Heliotropium europaeum,decomposition,0.6423797253081813,1,1.0
Heliotropium europaeum,fungal pathogenicity,0.2253931932534624,1,1.0
Heliotropium europaeum,nutrient uptake,0.0016420360000000134,1,1.0
Heliotropium europaeum,pollination,0.19635901449112292,1,1.0
Lavatera maritima,decomposition,0.754584662191187,2,230.0
Lavatera maritima,fungal pathogenicity,0.17600080260206352,2,230.0
Lavatera maritima,herbivory,0.78227200108864,2,230.0
Lavatera maritima,nutrient uptake,0.8077541728096393,2,230.0
Lavatera maritima,pollination,1.0,2,230.0
Lavatera maritima,seed dispersal,0.033333332999999965,2,230.0
Limonium sp,decomposition,1.0,1,1.0
Limonium sp,fungal pathogenicity,0.23769459807971882,1,1.0
Limonium sp,nutrient uptake,0.8937207201115653,1,1.0
Limonium sp,seed dispersal,0.17666666634999995,1,1.0
Medicago arborea,decomposition,0.9304012741895322,1,220.0
Medicago arborea,fungal pathogenicity,0.2149503121253894,1,220.0
Medicago arborea,herbivory,0.79588,1,220.0
Medicago arborea,nutrient uptake,0.2726932268070533,1,220.0
Medicago arborea,pollination,0.224070772916948,1,220.0
Medicago arborea,seed dispersal,0.09999999999999998,1,220.0
Narcissus tazetta,decomposition,0.6746293064870457,16,247.0
Narcissus tazetta,fungal pathogenicity,0.6690694024542216,16,247.0
Narcissus tazetta,nutrient uptake,0.1252171291927736,16,247.0
Narcissus tazetta,pollination,0.1320677359114354,16,247.0
Olea europaea var. sylvestris,decomposition,0.9251273820660363,64,15138.7
Olea europaea var. sylvestris,fungal pathogenicity,0.14422135889083776,64,15138.7
Olea europaea var. sylvestris,herbivory,0.990928,64,15138.7
Olea europaea var. sylvestris,nutrient uptake,0.48713154815525317,64,15138.7
Olea europaea var. sylvestris,seed dispersal,0.524722222711111,64,15138.7
Suaeda vera,decomposition,0.615313128208653,257,21636.5
Suaeda vera,fungal pathogenicity,0.7296708857130543,257,21636.5
Suaeda vera,herbivory,1.0,257,21636.5
Suaeda vera,nutrient uptake,0.03715771974026083,257,21636.5
Suaeda vera,pollination,0.034482758999999974,257,21636.5
Suaeda vera,seed dispersal,0.08140277840055554,257,21636.5
Withania frutescens,decomposition,0.9204072928721224,88,10863.0
Withania frutescens,fungal pathogenicity,0.16867719332998288,88,10863.0
Withania frutescens,herbivory,0.9687512696166497,88,10863.0
Withania frutescens,nutrient uptake,0.4063963670886688,88,10863.0
Withania frutescens,pollination,0.5958101468358366,88,10863.0
Withania frutescens,seed dispersal,1.0,88,10863.0
